2025-04-08 14:34:46,633 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-08 14:34:56,733 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-08 14:35:33,248 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-08 14:35:36,584 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-08 14:35:37,710 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-08 14:35:58,702 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-08 14:36:01,635 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-08 14:36:08,107 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-08 14:37:33,865 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-08 14:37:36,856 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-08 14:38:03,939 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-08 14:38:52,121 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-08 14:38:55,065 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-08 14:43:50,635 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-08 14:44:37,690 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-08 14:44:41,071 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-08 14:46:35,905 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-08 14:47:15,764 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-08 14:47:19,056 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-04-08 14:47:26,609 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-04-08 14:47:37,570 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-04-08 14:47:40,595 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
