2025-04-28 12:11:46,627 | MainThread   | [INFO    ] | perform_observation_loop|: [[43453.0, 0.0, 0, 770.0], [44365.0, 18.0, 0, 2973.0], [44885.0, 37.0, 0, 2850.0], [46765.0, 57.0, 0, 3278.0], [47525.0, 78.0, 0, 2369.0], [48063.0, 97.0, 0, 774.0], [48572.0, 118.0, 0, 742.0], [49017.0, 138.0, 0, 893.0], [50153.0, 157.0, 0, 982.0], [51036.0, 177.0, 0, 756.0], [55007.0, 197.0, 0, 673.0], [55539.0, 217.0, 0, 724.0], [55964.0, 237.0, 0, 874.0], [56494.0, 257.0, 0, 940.0], [57181.0, 277.0, 0, 737.0], [58802.0, 297.0, 0, 692.0], [60048.0, 317.0, 0, 745.0], [61384.0, 337.0, 0, 934.0]]
2025-04-28 12:14:37,670 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-28 12:15:05,961 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-28 12:15:05,967 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-28 12:15:06,051 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,052 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,081 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,085 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,086 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,110 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,112 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,140 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,141 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,142 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,170 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,172 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,202 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,202 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,203 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,230 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,232 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:06,260 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:15:11,021 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
2025-04-28 12:15:11,022 | MainThread   | [INFO    ] | perform_observation_loop|: [[48012.0, -2.0, 0, 2019.0], [48484.0, 17.0, 0, 2003.0], [48929.0, 37.0, 0, 1003.0], [49411.0, 57.0, 0, 640.0], [52543.0, 77.0, 0, 478.0], [53506.0, 97.0, 0, 437.0], [54462.0, 117.0, 0, 475.0], [55543.0, 137.0, 0, 599.0], [56370.0, 157.0, 0, 799.0], [57470.0, 177.0, 0, 687.0], [61056.0, 197.0, 0, 644.0], [62005.0, 217.0, 0, 757.0], [62502.0, 237.0, 0, 1220.0], [62983.0, 257.0, 0, 2643.0], [63701.0, 278.0, 0, 1936.0], [64340.0, 298.0, 0, 2459.0], [66601.0, 317.0, 0, 1428.0], [69238.0, 337.0, 0, 964.0]]
2025-04-28 12:16:26,692 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-28 12:16:44,333 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-28 12:16:44,422 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-28 12:16:44,513 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,514 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,543 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,544 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,546 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,573 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,574 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,603 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,604 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,605 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,634 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,636 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,665 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,665 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,666 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,696 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,696 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:44,724 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 12:16:49,484 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
2025-04-28 12:16:49,485 | MainThread   | [INFO    ] | perform_observation_loop|: [[25789.0, 0.0, 0, 440.0], [26787.0, 17.0, 0, 444.0], [27019.0, 37.0, 0, 459.0], [27441.0, 58.0, 0, 583.0], [28307.0, 77.0, 0, 523.0], [29840.0, 97.0, 0, 419.0], [31596.0, 117.0, 0, 395.0], [32188.0, 137.0, 0, 460.0], [33053.0, 157.0, 0, 637.0], [33677.0, 177.0, 0, 1071.0], [36757.0, 197.0, 0, 2482.0], [37523.0, 217.0, 0, 3015.0], [39761.0, 237.0, 0, 708.0], [40741.0, 257.0, 0, 475.0], [41279.0, 277.0, 0, 430.0], [41667.0, 297.0, 0, 1721.0], [42198.0, 317.0, 0, 1075.0], [43346.0, 337.0, 0, 642.0]]
2025-04-28 14:05:55,764 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-05-13 23:00:28,056 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log initialized.
2025-05-13 23:04:53,920 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-05-13 23:05:13,187 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-05-13 23:07:49,723 | MainThread   | [INFO    ] | get_logger          |: Logger demo_notebook.log already initialized.
2025-05-13 23:12:04,353 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-05-13 23:12:04,360 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-05-13 23:12:04,472 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-05-13 23:12:04,473 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-05-13 23:12:04,502 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-05-13 23:12:04,503 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-05-13 23:12:04,503 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-05-13 23:12:04,532 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-05-13 23:12:04,533 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-05-13 23:12:04,561 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-05-13 23:12:04,563 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-05-13 23:12:04,564 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
