2025-05-14 13:22:40,983 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:23:05,363 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:24:12,743 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:24:15,818 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:24:48,745 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:26:56,337 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:27:00,609 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:27:55,830 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:28:27,343 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:28:30,490 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:29:23,821 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:31:11,641 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:31:16,575 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:31:58,656 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:40:38,262 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:40:41,309 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:41:55,761 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:44:10,478 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:44:13,476 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:46:06,961 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:49:25,755 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:49:28,700 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:51:52,457 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:53:26,979 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:53:38,131 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 13:56:20,340 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 13:56:59,670 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 13:57:02,771 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 14:02:18,005 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
2025-05-14 14:07:38,878 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:81:04:26:a3:64
2025-05-14 14:07:42,341 | MainThread   | [INFO    ] | _connect            |: Connected to c0:81:04:26:a3:64
2025-05-14 14:08:00,629 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from A1C0DD95-B611-6CFA-AF80-6BCF50487F59
